Date,Clicks,Impressions,CTR,Position
2025-10-13,12,1615,0.74%,26.6
2025-10-14,21,1791,1.17%,28.5
2025-10-15,13,1791,0.73%,29.1
2025-10-16,13,1764,0.74%,31.1
2025-10-17,10,1692,0.59%,36.3
2025-10-18,13,1431,0.91%,40.9
2025-10-19,9,1672,0.54%,29
2025-10-20,11,1555,0.71%,28.2
2025-10-21,12,1420,0.85%,30
2025-10-22,18,1621,1.11%,28.8
2025-10-23,23,1624,1.42%,31
2025-10-24,16,1348,1.19%,28.8
2025-10-25,20,1275,1.57%,37.3
2025-10-26,10,1362,0.73%,30.6
2025-10-27,16,1731,0.92%,26.3
2025-10-28,25,1768,1.41%,23.1
2025-10-29,22,1845,1.19%,27.1
2025-10-30,23,1839,1.25%,27.4
2025-10-31,13,1622,0.8%,31
2025-11-01,11,1359,0.81%,36.7
2025-11-02,14,1573,0.89%,34.3
2025-11-03,12,1851,0.65%,26.7
2025-11-04,20,1898,1.05%,27.2
2025-11-05,18,1875,0.96%,25.6
2025-11-06,11,1812,0.61%,28.7
2025-11-07,28,1599,1.75%,29.3
2025-11-08,10,1389,0.72%,37.7
2025-11-09,8,1623,0.49%,31.7
2025-11-10,21,1777,1.18%,26.2
2025-11-11,25,1728,1.45%,23.7
2025-11-12,26,1835,1.42%,22.3
2025-11-13,29,1926,1.51%,26.4
2025-11-14,28,1561,1.79%,28.1
2025-11-15,21,1372,1.53%,28.1
2025-11-16,30,1599,1.88%,26.7
2025-11-17,51,2080,2.45%,24
2025-11-18,25,2091,1.2%,26.4
2025-11-19,31,2128,1.46%,28.1
2025-11-20,22,2125,1.04%,31.3
2025-11-21,21,1553,1.35%,28.6
2025-11-22,12,1333,0.9%,33.4
2025-11-23,29,1618,1.79%,28.7
2025-11-24,22,1872,1.18%,27.2
2025-11-25,22,1908,1.15%,26.8
2025-11-26,28,1903,1.47%,27.9
2025-11-27,27,2041,1.32%,32
2025-11-28,21,1512,1.39%,28.3
2025-11-29,14,1266,1.11%,27.7
2025-11-30,16,1588,1.01%,30.2
2025-12-01,19,2218,0.86%,28.5
2025-12-02,23,2243,1.03%,24.9
2025-12-03,19,2784,0.68%,23.9
2025-12-04,20,2472,0.81%,31
2025-12-05,16,2194,0.73%,35.6
2025-12-06,22,1493,1.47%,34.9
2025-12-07,12,1882,0.64%,29.8
2025-12-08,21,2624,0.8%,34.8
2025-12-09,21,2108,1%,28.5
2025-12-10,26,2359,1.1%,30.7
2025-12-11,29,2397,1.21%,30.1
2025-12-12,21,2083,1.01%,31.6
2025-12-13,14,1681,0.83%,33.5
2025-12-14,9,1957,0.46%,34.9
2025-12-15,17,2343,0.73%,32.5
2025-12-16,19,2517,0.75%,33.9
2025-12-17,15,1811,0.83%,24
2025-12-18,21,1991,1.05%,32
2025-12-19,16,1924,0.83%,35.2
2025-12-20,15,1570,0.96%,37.7
2025-12-21,11,1852,0.59%,35.6
2025-12-22,10,2482,0.4%,31.5
2025-12-23,12,2083,0.58%,36.3
2025-12-24,16,1858,0.86%,39.3
2025-12-25,10,1790,0.56%,39.1
2025-12-26,10,1588,0.63%,35.6
2025-12-27,7,1459,0.48%,35.2
2025-12-28,9,1665,0.54%,38.8
2025-12-29,16,2059,0.78%,37.8
2025-12-30,15,1869,0.8%,35.1
2025-12-31,11,1787,0.62%,37.2
2026-01-01,16,1867,0.86%,38.5
2026-01-02,18,1888,0.95%,31.7
2026-01-03,8,1817,0.44%,26.7
2026-01-04,9,1714,0.53%,31.1
2026-01-05,14,2327,0.6%,26.9
2026-01-06,13,2094,0.62%,21.5
2026-01-07,15,2900,0.52%,32.5
2026-01-08,14,3293,0.43%,34.1
2026-01-09,18,2901,0.62%,36.2
2026-01-10,13,2522,0.52%,38.8
2026-01-11,13,2645,0.49%,33.1
2026-01-12,21,2592,0.81%,28.2
2026-01-13,19,2677,0.71%,34
2026-01-14,15,2418,0.62%,31.4
2026-01-15,15,2353,0.64%,23.6
2026-01-16,10,2318,0.43%,35.5
2026-01-17,14,2042,0.69%,39.5
2026-01-18,6,2165,0.28%,32.6
2026-01-19,15,4276,0.35%,23.3
2026-01-20,18,3036,0.59%,27.5
2026-01-21,29,3494,0.83%,25.2
2026-01-22,24,2962,0.81%,35.3
2026-01-23,22,2319,0.95%,30.3
2026-01-24,13,2170,0.6%,36.8
2026-01-25,9,2034,0.44%,33.6
2026-01-26,23,2730,0.84%,34.1
2026-01-27,21,2636,0.8%,33.7
2026-01-28,27,3130,0.86%,29.2
2026-01-29,19,2542,0.75%,30.7
2026-01-30,15,2842,0.53%,33.9
2026-01-31,13,2496,0.52%,40
2026-02-01,13,2999,0.43%,30.2
2026-02-02,21,3245,0.65%,30.8
2026-02-03,27,2858,0.94%,29.2
2026-02-04,23,2622,0.88%,31.7
2026-02-05,22,2865,0.77%,33
2026-02-06,13,2117,0.61%,32.5
2026-02-07,11,1551,0.71%,35.4
2026-02-08,15,1997,0.75%,37.2
2026-02-09,26,2343,1.11%,32.5
2026-02-10,23,2984,0.77%,32.1
2026-02-11,13,3371,0.39%,31.7
2026-02-12,13,3101,0.42%,30.3
2026-02-13,18,2101,0.86%,29.5
2026-02-14,12,1824,0.66%,33.6
2026-02-15,9,2018,0.45%,31.6
2026-02-16,16,2217,0.72%,28.1
2026-02-17,16,2436,0.66%,30.8
2026-02-18,23,2364,0.97%,30.2
2026-02-19,13,2513,0.52%,29.1
2026-02-20,15,2262,0.66%,31.2
2026-02-21,12,1941,0.62%,30
2026-02-22,18,2103,0.86%,30.2
2026-02-23,20,2526,0.79%,27.4
2026-02-24,25,2559,0.98%,30.4
2026-02-25,25,2605,0.96%,29.7
2026-02-26,15,2837,0.53%,26.9
2026-02-27,17,2886,0.59%,29.4
2026-02-28,11,1867,0.59%,33.5
2026-03-01,10,2076,0.48%,33.3
2026-03-02,16,2151,0.74%,29.9
2026-03-03,16,2562,0.62%,30.5
